year,gender,name,count
2017,F,Anina,8
2017,M,Anirudh,17
2017,F,Anisa,63
2017,M,Anish,21
2017,F,Anisha,33
2017,F,Anissa,51
2017,F,Aniston,83
2017,F,Anistyn,25
2017,F,Anita,125
2017,F,Aniya,345
2017,F,Aniyah,1091
2017,F,Aniyla,5
2017,F,Aniylah,29
2017,F,Anja,37
2017,F,Anjali,63
2017,F,Anjelica,5
2017,M,Anmol,6
2017,F,Ann,204
2017,F,Anna,4553
2017,F,Annabel,299
2017,F,Annabell,41
2017,F,Annabella,626
2017,F,Annabelle,2613
2017,F,Annabeth,106
2017,F,Annaleah,52
2017,F,Annalee,240
2017,F,Annaleigh,108
2017,F,Annali,7
2017,F,Annalia,40
2017,F,Annalicia,10
2017,F,Annalie,24
2017,F,Annaliese,94
2017,F,Annalisa,61
2017,F,Annalise,770
2017,F,Annaliyah,6
2017,F,Annalucia,5
2017,F,Annaly,7
2017,F,Annalyn,17
2017,F,Annalynn,18
2017,F,Annalyse,12
2017,F,Annamarie,53
2017,F,Annasofia,5
2017,F,Annasophia,16
2017,F,Annastasia,7
2017,F,Anne,485
2017,F,Anneliese,100
2017,F,Annelise,145
2017,F,Annemarie,24
2017,F,Annette,154
2017,F,Annie,1069
2017,F,Annika,373
2017,F,Anniston,196
2017,F,Annistyn,97
2017,F,Annmarie,17
2017,F,Annora,46
2017,F,Annslee,10
2017,F,Annsley,25
2017,F,Anny,11
2017,F,Anora,17
2017,F,Anorah,5
2017,F,Anouk,5
2017,F,Anoushka,6
2017,M,Ansel,98
2017,M,Anselmo,6
2017,M,Ansh,86
2017,F,Anslee,31
2017,F,Ansleigh,49
2017,F,Ansley,326
2017,M,Anson,241
2017,F,Anthea,5
2017,F,Anthonella,6
2017,M,Anthony,8850
2017,M,Antoine,141
2017,F,Antoinette,28
2017,M,Anton,167
2017,F,Antonella,426
2017,M,Antoni,8
2017,F,Antonia,194
2017,F,Antonina,8
2017,M,Antonio,2459
2017,M,Antony,33
2017,M,Antwain,5
2017,M,Antwan,58
2017,M,Antwon,17
2017,M,Anubis,6
2017,M,Anuel,15
2017,F,Anuhea,21
2017,F,Anusha,6
2017,M,Anvay,5
2017,F,Anvi,39
2017,F,Anvika,69
2017,M,Anwar,6
2017,F,Anya,417
2017,F,Anyah,11
2017,F,Anyeli,5
2017,F,Anyla,111
2017,F,Anylah,52
2017,F,Anzal,9
2017,F,Aoife,44
2017,F,Aolani,5
2017,F,Aolanis,9
2017,M,Apollo,480
2017,F,April,654
2017,M,Aquiles,19
2017,F,Ara,26
2017,F,Arabella,1870
2017,F,Arabelle,89
2017,F,Araceli,169
2017,F,Aracely,98
2017,F,Aradhya,13
2017,F,Aralyn,32
2017,F,Aralynn,11
2017,M,Aram,51
2017,M,Aramis,30
2017,M,Aran,8
2017,F,Arantxa,23
2017,F,Arantza,51
2017,F,Aranza,220
2017,M,Arash,5
2017,M,Arath,15
2017,M,Arav,12
2017,F,Araya,121
2017,F,Arayah,24
2017,M,Arber,7
2017,M,Archer,1445
2017,M,Archibald,7
2017,M,Archie,98
2017,M,Arda,5
2017,F,Arden,156
2017,M,Arden,81
2017,F,Areej,18
2017,F,Areli,74
2017,F,Arely,230
2017,M,Aren,11
2017,M,Ares,336
2017,F,Arfa,5
2017,M,Arhaan,18
2017,M,Arham,97
2017,F,Ari,294
2017,M,Ari,770
2017,F,Aria,7157
2017,M,Aria,13
2017,F,Ariabella,7
2017,F,Ariadna,127
2017,F,Ariadne,301
2017,F,Ariah,971
2017,M,Arian,210
2017,F,Ariana,3877
2017,F,Ariane,5
2017,F,Ariani,8
2017,F,Arianna,3273
2017,F,Ariannah,6
2017,F,Arianne,40
2017,F,Arianni,5
2017,F,Arianny,82
2017,F,Ariany,39
2017,F,Aribella,35
2017,F,Aribelle,5
2017,M,Aric,15
2017,F,Arie,69
2017,M,Arie,6
2017,F,Ariel,2057
2017,M,Ariel,563
2017,F,Ariela,99
2017,F,Ariella,1077
2017,F,Arielle,976
2017,F,Ariely,5
2017,F,Arielys,5
2017,M,Arien,5
2017,F,Aries,29
2017,M,Aries,119
2017,M,Arik,8
2017,F,Arika,5
2017,F,Arin,5
2017,M,Arin,29
2017,F,Arina,45
2017,M,Arion,33
2017,F,Arionna,12
2017,F,Aris,27
2017,M,Aris,33
2017,F,Arisa,7
2017,F,Arisbeth,25
2017,F,Arisha,29
2017,F,Arissa,12
2017,F,Arista,5
2017,M,Aristotle,5
2017,M,Arius,20
2017,F,Ariya,430
2017,F,Ariyah,718
2017,M,Ariyan,13
2017,F,Ariyana,34
2017,F,Ariyanna,38
2017,F,Ariza,22
2017,F,Arizbeth,23
2017,F,Arizona,56
2017,M,Arjan,20
2017,M,Arjen,10
2017,M,Arjun,521
2017,F,Arleen,28
2017,M,Arlen,20
2017,F,Arlene,117
2017,F,Arlet,82
2017,F,Arleth,177
2017,F,Arlett,22
2017,F,Arlette,183
2017,M,Arley,18
2017,F,Arlie,6
2017,M,Arlind,7
2017,F,Arlo,10
2017,M,Arlo,1067
2017,F,Arlyn,13
2017,M,Armaan,57
2017,M,Arman,71
2017,M,Armand,11
2017,M,Armando,556
2017,F,Armani,396
2017,M,Armani,532
2017,M,Armen,15
2017,M,Armin,30
2017,M,Armon,52
2017,F,Armoni,59
2017,M,Armoni,12
2017,F,Armonie,5
2017,M,Arnav,64
2017,M,Arno,6
2017,M,Arnold,58
2017,M,Arnoldo,18
2017,M,Arnulfo,27
2017,M,Aron,252
2017,F,Arriana,5
2017,F,Arrianna,5
2017,M,Arron,5
2017,F,Arrow,22
2017,M,Arrow,88
2017,M,Arsalan,10
2017,F,Arsema,14
2017,M,Arsen,15
2017,M,Arsh,11
2017,M,Arshan,18
2017,M,Art,8
2017,M,Artem,30
2017,M,Artemio,22
2017,F,Artemis,78
2017,M,Arthur,1496
2017,M,Artin,6
2017,M,Artur,9
2017,M,Arturo,430
2017,M,Arun,6
2017,M,Arvin,69
2017,F,Arwa,20
2017,F,Arwen,48
2017,F,Arya,2156
2017,M,Arya,20
2017,F,Aryah,66
2017,F,Aryam,6
2017,M,Aryan,276
2017,F,Aryana,143
2017,F,Aryanna,239
2017,M,Aryav,5
2017,M,Arye,7
2017,M,Aryeh,98
2017,F,Aryia,22
2017,F,Aryiah,6
2017,F,Aryn,5
2017,F,Aryssa,5
2017,F,Asa,22
2017,M,Asa,557
2017,M,Asaad,24
2017,M,Asad,27
2017,M,Asael,27
2017,M,Asaf,5
2017,M,Asahd,16
2017,M,Asaiah,35
2017,M,Ascher,5
2017,F,Aseel,52
2017,M,Ash,78
2017,F,Asha,142
2017,M,Ashad,10
2017,F,Ashanti,105
2017,M,Ashar,13
2017,M,Ashby,6
